validation_step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,Eii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MAX
61,20427.5,20424,20431,0.547008547,0.547008547,0.547008547,0.842105263,0.842105263,0.842105263,0,0,0,0.673684211,0.673684211,0.673684211,0.673684211,0.673684211,0.673684211,0,0,0,0.080488012,0.080488012,0.080488012,0.469150288,0.469150288,0.469150288
62,20435.5,20432,20439,0.615384615,0.615384615,0.615384615,0.64,0.64,0.64,0,0,0,0.633663366,0.633663366,0.633663366,0.615384615,0.615384615,0.615384615,0,0,0,0.051572976,0.051572976,0.051572976,0.465310482,0.465310482,0.465310482
63,20443.5,20440,20447,0.568181818,0.568181818,0.568181818,0.078125,0.078125,0.078125,0,0,0,0.648648649,0.648648649,0.648648649,0.14516129,0.14516129,0.14516129,0,0,0,0.104828156,0.104828156,0.104828156,0.275145423,0.275145423,0.275145423
64,20451.5,20448,20455,0,0,0,0.557692308,0.557692308,0.557692308,0,0,0,0,0,0,0.60952381,0.60952381,0.60952381,0,0,0,0.15649169,0.15649169,0.15649169,0.49834674,0.49834674,0.49834674
65,20459.5,20456,20463,0,0,0,0.488549618,0.488549618,0.488549618,0,0,0,0,0,0,0.520325203,0.520325203,0.520325203,0,0,0,0.113410596,0.113410596,0.113410596,0.742634177,0.742634177,0.742634177
66,20467.5,20464,20471,0.736842105,0.736842105,0.736842105,0.356589147,0.356589147,0.356589147,0,0,0,0.636363636,0.636363636,0.636363636,0.343283582,0.343283582,0.343283582,0,0,0,0.024619841,0.024619841,0.024619841,0.951897916,0.951897916,0.951897916
67,20475.5,20472,20479,0.74,0.74,0.74,0.869565217,0.869565217,0.869565217,0,0,0,0.698113208,0.698113208,0.698113208,0.540540541,0.540540541,0.540540541,0,0,0,0,0,0,0.969175901,0.969175901,0.969175901
68,20483.5,20480,20487,0.748538012,0.748538012,0.748538012,0.98989899,0.98989899,0.98989899,0,0,0,0.920863309,0.920863309,0.920863309,0.95049505,0.95049505,0.95049505,0,0,0,0,0,0,0.881126173,0.881126173,0.881126173
69,20491.5,20488,20495,0.83248731,0.83248731,0.83248731,0.962406015,0.962406015,0.962406015,0,0,0,0.854166667,0.854166667,0.854166667,0.955223881,0.955223881,0.955223881,0,0,0,0.006926407,0.006926407,0.006926407,0.829776348,0.829776348,0.829776348
70,20499.5,20496,20503,0.829268293,0.829268293,0.829268293,0.491017964,0.491017964,0.491017964,0,0,0,0.819277108,0.819277108,0.819277108,0.55033557,0.55033557,0.55033557,0,0,0,0.046857143,0.046857143,0.046857143,0.638100155,0.638100155,0.638100155
